year,m1,broad_money,gdp,debt_gdp,m1_gdp,broad_money_gdp,country,m1_series,broad_series,gdp_series,debt_source,debt_to_m1,debt_to_broad_money
1995,1143008333333.3333,3555583333333.3335,7639749250000.0,,14.961333100472286,46.54057635901248,United States,MANMM101USM189S,MABMM301USM189S,USAGDPNADSMEI,GGGDTAUSA188N,,
1996,1106816666666.6667,3728950000000.0,8073121750000.0,,13.709896876839084,46.1896911191758,United States,MANMM101USM189S,MABMM301USM189S,USAGDPNADSMEI,GGGDTAUSA188N,,
1997,1070233333333.3334,3925725000000.0,8577552500000.0,,12.477141158078991,45.76742608104118,United States,MANMM101USM189S,MABMM301USM189S,USAGDPNADSMEI,GGGDTAUSA188N,,
1998,1080616666666.6666,4206458333333.3335,9062816750000.0,,11.923629225612077,46.41446968828244,United States,MANMM101USM189S,MABMM301USM189S,USAGDPNADSMEI,GGGDTAUSA188N,,
1999,1102300000000.0,4517258333333.333,9631171750000.0,,11.445128678138255,46.90247926825034,United States,MANMM101USM189S,MABMM301USM189S,USAGDPNADSMEI,GGGDTAUSA188N,,
2000,1103700000000.0,4790183333333.333,10250952000000.0,,10.766804878220091,46.72915582214543,United States,MANMM101USM189S,MABMM301USM189S,USAGDPNADSMEI,GGGDTAUSA188N,,
2001,1140241666666.6667,5203741666666.667,10581929000000.0,53.331,10.77536682269052,49.175737870351114,United States,MANMM101USM189S,MABMM301USM189S,USAGDPNADSMEI,GGGDTAUSA188N,4.949344266192108,1.084498216185469
2002,1196683333333.3333,5591316666666.667,10929108250000.0,55.723,10.949505723244467,51.15986170844878,United States,MANMM101USM189S,MABMM301USM189S,USAGDPNADSMEI,GGGDTAUSA188N,5.089088166026239,1.089193718262097
2003,1274066666666.6667,5981425000000.0,11456449500000.0,58.803,11.120955638713955,52.2101109946847,United States,MANMM101USM189S,MABMM301USM189S,USAGDPNADSMEI,GGGDTAUSA188N,5.287585159974622,1.126276096329052
2004,1344583333333.3333,6266775000000.0,12217195750000.0,66.277,11.005662517385247,51.29470893514987,United States,MANMM101USM189S,MABMM301USM189S,USAGDPNADSMEI,GGGDTAUSA188N,6.02208180518934,1.2920825827044213
2005,1372158333333.3333,6535133333333.333,13039197000000.0,65.608,10.523334629681056,50.119139494045015,United States,MANMM101USM189S,MABMM301USM189S,USAGDPNADSMEI,GGGDTAUSA188N,6.23452568114224,1.3090408307547923
2006,1375166666666.6667,6877383333333.333,13815583000000.0,64.343,9.953736057802749,49.779899504301284,United States,MANMM101USM189S,MABMM301USM189S,USAGDPNADSMEI,GGGDTAUSA188N,6.464205965112108,1.2925498171092205
2007,1373058333333.3333,7298100000000.0,14474227000000.0,64.739,9.486229097645998,50.42134547150601,United States,MANMM101USM189S,MABMM301USM189S,USAGDPNADSMEI,GGGDTAUSA188N,6.8245241954007785,1.2839601838190764
